Date,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA
9/3/2019,156.88,21,23,12616888.0,39.582,23.193,2.76
8/30/2019,151.36,20,25,10530270.0,38.189,22.377,1.48
8/29/2019,149.88,20,25,10435053.0,37.816,22.158,3.99
8/28/2019,145.89,20,25,9592996.0,36.809,21.568,-1.13
8/27/2019,147.02,20,25,19435392.0,37.094,21.735,4.01
8/26/2019,143.00999,20,25,11156073.0,36.083,21.142,5.27
8/23/2019,137.74001,20,27,11347155.0,34.753,20.363,-1.4
8/22/2019,139.14,20,27,6603220.0,35.106,20.57,0.56
8/21/2019,138.58,20,27,8211885.0,34.965,20.487,4.32
8/20/2019,134.25999,20,27,6655345.0,33.875,19.849,-0.7
8/19/2019,134.96001,20,27,9345713.0,34.052,19.952,3.92
8/16/2019,131.03999,20,25,6368413.0,33.063,19.373,1.64
8/15/2019,129.39999,20,25,9053574.0,32.649,19.13,-1.17
8/14/2019,130.57001,20,25,11600681.0,32.944,19.303,-4.76
8/13/2019,135.33,20,25,20273220.0,34.145,20.007,1.03
8/12/2019,134.3,20,25,19614336.0,33.885,19.855,8.98
8/9/2019,125.32,20,40,14591452.0,31.619,18.527,3.29
8/8/2019,122.03,20,40,27655456.0,30.789,18.041,21.06
8/7/2019,100.97,20,40,13649070.0,25.476,14.927,2.49
8/6/2019,98.48,20,40,11136249.0,24.846999999999998,14.559000000000001,-4.09
8/5/2019,102.57,20,40,7328656.0,25.879,15.164000000000001,2.04
8/2/2019,100.53,20,29,4444485.0,25.365,14.862,-0.32
8/1/2019,100.85,20,29,5478407.0,25.445,14.909,-2.48
7/31/2019,103.33,19,29,5292158.0,26.070999999999998,15.276,-2.43
7/30/2019,105.76,19,29,4762618.0,26.684,15.635,0.63
7/29/2019,105.13,19,29,10855535.0,26.525,15.542,-5.32
7/26/2019,110.45,19,0,6865401.0,27.866999999999997,16.329,3.56
7/25/2019,106.89,19,0,5276766.0,26.969,15.802,-0.77
7/24/2019,107.66,19,0,6138626.0,27.164,15.915999999999999,2.74
7/23/2019,104.92,19,0,9726893.0,26.471999999999998,15.511,-3.68
7/22/2019,108.6,19,0,5704450.0,27.401,16.055,1.75
7/19/2019,106.85,19,0,6736162.0,26.959,15.796,-2.17
7/18/2019,109.02,19,0,9302051.0,27.506999999999998,16.117,-0.32
7/17/2019,109.34,19,0,11183913.0,27.587,16.165,-2.6
7/16/2019,111.94,19,0,21356596.0,28.243000000000002,16.549,7.6
7/15/2019,104.34,19,0,6340012.0,26.326,15.425,1.87
7/12/2019,102.47,19,25,7524214.0,25.854,15.149000000000001,-2.07
7/11/2019,104.54,19,25,9091835.0,26.375999999999998,15.455,1.04
7/10/2019,103.5,19,25,8519337.0,26.114,15.300999999999998,0.1
7/9/2019,103.4,19,25,10727311.0,26.089000000000002,15.286,0.15
7/8/2019,103.25,19,25,12268306.0,26.051,15.264000000000001,5.14
7/5/2019,98.11,19,58,12061717.0,24.754,14.504000000000001,2.3
7/3/2019,93.51,19,58,7313660.0,23.593000000000004,13.824000000000002,0.46
7/2/2019,93.05,19,58,12853428.0,23.476999999999997,13.755999999999998,1.68
7/1/2019,91.37,19,58,5944814.0,23.053,13.508,0.79
6/28/2019,90.58,18,0,11980704.0,28.464000000000002,13.390999999999998,-2.65
6/27/2019,93.23,18,0,5476288.0,29.296,13.783,0.93
6/26/2019,92.3,18,0,8598768.0,29.004,13.645,-0.95
6/25/2019,93.25,18,0,12280083.0,29.303,13.786,-6.78
6/24/2019,100.03,18,0,7786770.0,31.433000000000003,14.788,-2.54
6/21/2019,102.57,18,26,4391220.0,32.231,15.164000000000001,-2.33
6/20/2019,104.9,18,26,6138877.0,32.963,15.508,-1.59
6/19/2019,106.49,18,26,5662986.0,33.463,15.743,2.1
6/18/2019,104.39,18,26,6591737.0,32.803000000000004,15.433,0.55
6/17/2019,103.84,18,26,5528267.0,32.63,15.350999999999999,1.82
6/14/2019,102.02,18,56,7326946.0,32.058,15.082,-2.95
6/13/2019,104.97,18,56,7629196.0,32.985,15.517999999999999,0.11
6/12/2019,104.86,18,56,12278571.0,32.951,15.502,4.66
6/11/2019,100.2,18,56,10283040.0,31.486,14.812999999999999,-0.41
6/10/2019,100.61,18,56,10366269.0,31.615,14.874,-1.26
6/7/2019,101.87,18,26,10603900.0,32.010999999999996,15.06,1.62
6/6/2019,100.25,18,26,12868204.0,31.502,14.821,-1.46
6/5/2019,101.71,18,26,23470796.0,31.961,15.037,8.11
6/4/2019,93.6,18,26,7782680.0,29.413,13.838,3.89
6/3/2019,89.71,18,26,10553038.0,28.19,13.262,-0.69
