Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,price change,ShiftedPB,ShiftedPS
10/14/2019,247.89999,256.95999,22,9,10226863.0,7.6579999999999995,1.8940000000000001,14.4,,,,,0.002994173699946271,7.6579999999999995,1.8940000000000001
10/11/2019,247.14999,247.89,22,9,8488159.0,7.3870000000000005,1.827,19.19,,,,,-0.002201524787997345,7.3870000000000005,1.827
10/10/2019,245.28,244.74001,22,9,6313417.0,7.294,1.804,21.53,,,,,0.013301797890692963,7.294,1.804
10/9/2019,241.32001,244.53,22,9,6935033.0,7.287000000000001,1.8019999999999998,3.3,,,,,0.01772162631958285,7.287000000000001,1.8019999999999998
10/8/2019,235.87,240.05,22,9,8702338.0,7.154,1.7690000000000001,-0.57,,,,,0.03446475195822449,7.154,1.7690000000000001
10/7/2019,229.8,237.72,22,9,8086957.0,7.084,1.7519999999999998,-8.88,,,,,-0.0007772116920686066,7.084,1.7519999999999998
10/4/2019,231.61,231.42999,22,12,8021180.0,6.897,1.706,-12.06,,,,,0.005046148537910754,6.897,1.706
10/3/2019,231.86,233.03,22,12,15137763.0,6.945,1.7180000000000002,-11.76,,,,,-0.0006576102863911229,6.945,1.7180000000000002
10/2/2019,243.28999,243.13,22,12,6256548.0,7.246,1.7919999999999998,0.32,,,,,0.013209109730848852,7.246,1.7919999999999998
10/1/2019,241.5,244.69,22,12,6196290.0,7.292000000000001,1.804,-0.51,,,,,-0.008765432098765413,7.292000000000001,1.804
9/30/2019,243.0,240.87,21,12,5946161.0,7.178,1.775,-5.0,,,,,-0.00028901734104043426,7.178,1.775
9/27/2019,242.2,242.13,21,18,11123179.0,7.587999999999999,1.739,-4.97,,,,,0.05159108644758521,7.587999999999999,1.739
9/26/2019,230.66,242.56,21,18,12078785.0,7.602,1.742,7.02,,,,,0.01843605272532947,7.602,1.742
9/25/2019,224.56,228.7,21,18,9444286.0,7.167000000000001,1.642,-3.09,,,,,-0.07581148559125538,7.167000000000001,1.642
9/24/2019,241.52,223.21001,21,18,12941112.0,6.995,1.6030000000000002,-4.24,,,,,0.005124999999999958,6.995,1.6030000000000002
9/23/2019,240.0,241.23,21,18,4391630.0,7.56,1.732,11.65,,,,,-0.02381439312692635,7.56,1.732
9/20/2019,246.49001,240.62,21,9,6506264.0,7.541,1.7280000000000002,19.94,,,,,0.0024390650406503965,7.541,1.7280000000000002
9/19/2019,246.0,246.60001,21,9,4883135.0,7.728,1.771,21.59,,,,,-0.006163224489795868,7.728,1.771
9/18/2019,245.0,243.49001,21,9,4228103.0,7.631,1.749,18.18,,,,,0.009568152761166288,7.631,1.749
9/17/2019,242.47,244.78999,21,9,3946909.0,7.672000000000001,1.758,19.18,,,,,-0.012967479674796738,7.672000000000001,1.758
9/16/2019,246.0,242.81,21,9,4728096.0,7.61,1.744,21.1,,,,,-0.007126700391695087,7.61,1.744
9/13/2019,246.96001,245.2,21,6,5313145.0,7.684,1.761,29.61,,,,,-0.007387969317722988,7.684,1.761
9/12/2019,247.7,245.87,21,6,8581210.0,7.705,1.766,31.79,,,,,0.04094704692897465,7.705,1.766
9/11/2019,237.38,247.10001,21,6,10042777.0,7.744,1.775,32.1,,,,,0.020537218370883785,7.744,1.775
9/10/2019,230.8,235.53999,21,6,4883714.0,7.382000000000001,1.692,24.14,,,,,0.007782565217391256,7.382000000000001,1.692
9/9/2019,230.0,231.78999,21,6,4802669.0,7.263999999999999,1.665,9.64,,,,,0.0011003521126760564,7.263999999999999,1.665
9/6/2019,227.2,227.45,21,6,4189372.0,7.127999999999999,1.633,6.62,,,,,0.03182022471910118,7.127999999999999,1.633
