Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,price change,ShiftedPB,ShiftedPS
11/5/2019,140.47,139.57001,23,100,11789376.0,35.365,20.634,-0.94,-0.045124026172207114,35.365,20.634
11/4/2019,147.14999,140.50999,23,100,20088780.0,35.604,20.773000000000003,-5.99,-0.013069253570466167,35.604,20.773000000000003
11/1/2019,148.44,146.5,23,23,10946604.0,37.121,21.658,-0.7,-0.014923309571258186,37.121,21.658
10/31/2019,149.42999,147.2,22,23,13249348.0,37.299,21.761999999999997,-2.23,0.011438878337696006,37.299,21.761999999999997
10/30/2019,147.74001,149.42999,22,23,10916474.0,37.864000000000004,22.090999999999998,2.19,0.007802874209248958,37.864000000000004,22.090999999999998
10/29/2019,146.10001,147.24001,22,23,16095056.0,37.309,21.768,0.36,0.07211678832116784,37.309,21.768
10/28/2019,137.0,146.88,22,23,24073204.0,37.218,21.714000000000002,13.14,0.035540227296959215,37.218,21.714000000000002
10/25/2019,129.14999,133.74001,22,0,11485718.0,33.888000000000005,19.772000000000002,2.52,0.02252006545624551,33.888000000000005,19.772000000000002
10/24/2019,128.33,131.22,22,0,10597875.0,33.25,19.399,2.46,-0.0018605426356590098,33.25,19.399
10/23/2019,129.0,128.75999,22,0,10702324.0,32.626,19.035999999999998,-0.3,-0.028235825615541,32.626,19.035999999999998
10/22/2019,132.81,129.06,22,0,17122368.0,32.702,19.08,-3.97,0.03324271844660195,32.702,19.08
10/21/2019,128.75,133.03,22,0,16408273.0,33.708,19.667,3.09,-0.0542251983404905,33.708,19.667
10/18/2019,137.39,129.94,22,36,32463524.0,32.925,19.21,-9.13,0.05403979081400636,32.925,19.21
10/17/2019,131.94,139.07001,22,36,20090072.0,35.239000000000004,20.56,6.57,-0.002484378528946868,35.239000000000004,20.56
10/16/2019,132.83,132.5,22,36,22426092.0,33.574,19.588,-0.32,0.07825953888618273,33.574,19.588
10/15/2019,123.18,132.82001,22,36,26623532.0,33.655,19.636,13.7,-0.01210814397080771,33.655,19.636
10/14/2019,120.58,119.12,22,36,14498592.0,30.184,17.61,-2.48,-0.018721755971594638,30.184,17.61
10/11/2019,123.92,121.6,22,26,23218928.0,30.811999999999998,17.977,5.47,-0.016847273958686158,30.811999999999998,17.977
